질병,식사시간,추천식단,권장,제한
신장질환,점심,애호박볶음,"저단백, 저인산, 저칼륨 식품, 좋은 지방, 복합 탄수화물","단백질 과다 식품, 인산염 풍부 음식, 칼륨 높은 과일/채소, 가공식품, 소금"
신장질환,저녁,달걀찜,"저단백, 저인산, 저칼륨 식품, 좋은 지방, 복합 탄수화물","단백질 과다 식품, 인산염 풍부 음식, 칼륨 높은 과일/채소, 가공식품, 소금"
신장질환,아침,사과,"저단백, 저인산, 저칼륨 식품, 좋은 지방, 복합 탄수화물","단백질 과다 식품, 인산염 풍부 음식, 칼륨 높은 과일/채소, 가공식품, 소금"
신장질환,점심,양배추 샐러드,"저단백, 저인산, 저칼륨 식품, 좋은 지방, 복합 탄수화물","단백질 과다 식품, 인산염 풍부 음식, 칼륨 높은 과일/채소, 가공식품, 소금"
신장질환,저녁,식빵과 꿀,"저단백, 저인산, 저칼륨 식품, 좋은 지방, 복합 탄수화물","단백질 과다 식품, 인산염 풍부 음식, 칼륨 높은 과일/채소, 가공식품, 소금"
관절염,아침,연어 스테이크,"오메가3 지방산, 항산화물질 풍부 식품, 올리브 오일, 생강, 강황","가공식품, 설탕, 튀긴 음식, 알코올, 정제된 탄수화물"
관절염,점심,브로콜리 볶음,"오메가3 지방산, 항산화물질 풍부 식품, 올리브 오일, 생강, 강황","가공식품, 설탕, 튀긴 음식, 알코올, 정제된 탄수화물"
관절염,저녁,강황밥,"오메가3 지방산, 항산화물질 풍부 식품, 올리브 오일, 생강, 강황","가공식품, 설탕, 튀긴 음식, 알코올, 정제된 탄수화물"
관절염,아침,생강차,"오메가3 지방산, 항산화물질 풍부 식품, 올리브 오일, 생강, 강황","가공식품, 설탕, 튀긴 음식, 알코올, 정제된 탄수화물"
관절염,점심,견과류,"오메가3 지방산, 항산화물질 풍부 식품, 올리브 오일, 생강, 강황","가공식품, 설탕, 튀긴 음식, 알코올, 정제된 탄수화물"
관절염,저녁,과일 샐러드,"오메가3 지방산, 항산화물질 풍부 식품, 올리브 오일, 생강, 강황","가공식품, 설탕, 튀긴 음식, 알코올, 정제된 탄수화물"
골다공증,아침,우유,"칼슘 풍부 식품, 비타민D 식품, 단백질, 녹색 잎채소","과도한 소금, 카페인, 알코올, 탄산음료"
골다공증,점심,치즈 토스트,"칼슘 풍부 식품, 비타민D 식품, 단백질, 녹색 잎채소","과도한 소금, 카페인, 알코올, 탄산음료"
골다공증,저녁,두부찜,"칼슘 풍부 식품, 비타민D 식품, 단백질, 녹색 잎채소","과도한 소금, 카페인, 알코올, 탄산음료"
골다공증,아침,멸치볶음,"칼슘 풍부 식품, 비타민D 식품, 단백질, 녹색 잎채소","과도한 소금, 카페인, 알코올, 탄산음료"
골다공증,점심,요구르트,"칼슘 풍부 식품, 비타민D 식품, 단백질, 녹색 잎채소","과도한 소금, 카페인, 알코올, 탄산음료"
골다공증,저녁,시금치나물,"칼슘 풍부 식품, 비타민D 식품, 단백질, 녹색 잎채소","과도한 소금, 카페인, 알코올, 탄산음료"
골다공증,아침,곤약 무침,"칼슘 풍부 식품, 비타민D 식품, 단백질, 녹색 잎채소","과도한 소금, 카페인, 알코올, 탄산음료"
